Id,SSN,Age,Salary,COVID Test Result,Pre-Existing Conditions,Recovery Time
0409,105-22-7328,50,82000,1,high blood pressure,4
0908,737-28-5583,55,73000,0,asthma,0
0533,186-56-6345,46,94000,1,asthma,6
0354,563-88-3187,42,54000,1,none,2
0937,717-85-3843,26,82000,0,none,0
0332,616-05-6087,57,92000,1,asthma,7
0499,666-70-6086,51,86000,1,asthma,7
0441,232-57-8606,53,53000,1,asthma,3
0512,514-20-1047,26,60000,1,none,2
0335,248-16-1882,19,62000,0,none,0
0520,237-07-6026,33,78000,0,high blood pressure,0
0754,545-53-6383,53,52000,0,asthma,0
0389,357-08-7500,49,77000,1,diabetes,6
0255,476-80-5012,48,73000,1,asthma,7
0978,466-32-4533,50,65000,1,diabetes,6
0137,547-11-6147,30,84000,1,high blood pressure,5
0036,802-73-4736,27,97000,0,none,0
0304,646-12-5787,35,53000,1,none,2
0292,214-87-8788,29,67000,1,none,2
0739,153-77-5565,39,82000,0,asthma,0
0413,064-55-8470,19,79000,1,none,2
0021,678-47-4265,21,102000,1,diabetes,7
0495,528-71-2322,21,85000,0,none,0
0630,734-56-8775,33,91000,0,none,0
0747,343-56-0410,30,52000,0,diabetes,0
0657,544-02-8563,20,53000,1,high blood pressure,6
0369,835-10-1802,18,52000,1,none,3
0275,425-61-8885,33,57000,0,none,0
0924,611-72-5211,42,67000,0,diabetes,0
0183,538-35-3528,43,98000,0,diabetes,0
0643,507-35-4387,49,98000,1,high blood pressure,5
0171,185-58-0316,58,89000,0,asthma,0
0421,480-66-8200,23,79000,0,none,0
0288,247-20-0585,32,59000,0,none,0
0610,127-33-4216,38,99000,1,none,3
0998,400-61-8478,22,68000,0,none,0
0328,084-26-2281,37,50000,0,none,0
0515,706-41-1213,56,101000,1,high blood pressure,6
0391,122-84-4706,56,67000,1,high blood pressure,4
0768,188-87-6378,36,58000,1,none,3
0376,843-78-8680,50,62000,1,none,2
0186,661-50-8280,29,68000,0,high blood pressure,0
0234,877-04-5755,53,57000,0,none,0
0841,133-61-0104,24,74000,0,none,0
0723,782-76-8666,18,72000,1,high blood pressure,7
0448,246-08-2485,21,54000,0,none,0
0104,024-23-7466,26,88000,1,asthma,6
0458,831-18-6660,27,73000,1,none,4
0845,637-10-0305,49,51000,1,asthma,7
0692,620-81-4633,46,45000,1,diabetes,5
0457,415-43-3650,42,95000,0,high blood pressure,0
0502,533-66-7217,40,66000,1,none,4
0353,035-41-3642,26,60000,1,none,7
0918,458-87-7868,37,93000,1,none,2
0599,150-64-5667,55,78000,1,high blood pressure,5
0492,871-51-2652,35,60000,1,high blood pressure,4
0859,538-44-3015,26,60000,1,none,3
0126,403-84-3272,21,50000,1,none,3
0986,161-82-7616,31,92000,0,none,0
0719,768-67-6535,58,50000,1,diabetes,7
0066,668-53-4645,57,70000,0,high blood pressure,0
0207,517-50-4382,58,85000,1,high blood pressure,7
0213,212-80-8330,26,90000,1,none,6
0368,041-67-5615,18,70000,0,none,0
0373,208-47-4031,52,81000,1,high blood pressure,3
0561,461-02-1008,47,64000,1,high blood pressure,6
0551,100-22-8364,53,56000,1,diabetes,6
0424,788-38-5287,37,94000,1,diabetes,5
0523,603-83-5228,18,79000,1,none,3
0055,486-75-6005,31,70000,1,high blood pressure,5
0316,762-16-8711,53,98000,1,asthma,6
0616,214-86-4305,20,97000,0,none,0
0387,073-15-5868,19,57000,1,asthma,7
0240,465-57-7768,36,87000,0,none,0
0155,048-84-2606,47,85000,0,high blood pressure,0
0098,155-51-3325,21,69000,1,none,5
0566,236-44-8646,19,91000,1,none,4
0574,468-08-1806,29,50000,1,asthma,5
0989,586-83-5426,49,60000,0,high blood pressure,0
0350,320-43-2313,34,66000,1,high blood pressure,4
0673,432-66-3821,21,51000,0,none,0
0291,683-68-4315,20,75000,0,none,0
0356,776-33-5416,45,60000,0,asthma,0
0560,152-58-4837,25,91000,0,asthma,0
0489,485-46-0023,36,65000,1,diabetes,7
0721,244-67-8874,57,58000,1,asthma,6
0730,647-60-1372,31,71000,1,none,4
0469,062-04-5236,42,43000,0,high blood pressure,0
0439,414-77-4520,31,97000,1,none,3
0379,040-51-4817,33,99000,1,high blood pressure,6
0917,866-54-5208,57,75000,1,high blood pressure,5
0188,481-80-2525,28,71000,0,high blood pressure,0
0658,057-57-0013,45,103000,0,none,0
0232,404-18-2576,53,84000,0,asthma,0
0831,263-28-4142,56,58000,0,diabetes,0
0741,320-38-3031,23,78000,0,none,0
0308,616-44-7241,29,92000,0,none,0
0358,437-31-5850,27,97000,0,asthma,0
0704,767-20-8427,56,72000,1,high blood pressure,5
0189,378-62-0751,56,82000,1,high blood pressure,5
0634,176-78-8288,29,81000,1,none,7
0312,877-16-4417,35,44000,1,asthma,3
0844,820-60-6675,52,45000,1,none,6
0961,870-74-7843,50,55000,1,high blood pressure,7
0401,578-40-0712,20,93000,1,none,3
0800,688-71-1677,54,95000,1,high blood pressure,7
0169,415-42-3878,55,73000,1,diabetes,5
0795,612-02-2115,26,54000,0,high blood pressure,0
0567,236-36-2381,38,85000,1,none,2
0254,638-06-3550,19,56000,0,none,0
0966,752-57-3800,45,75000,0,high blood pressure,0
0090,688-74-0246,57,57000,1,none,4
0802,123-06-8042,26,89000,0,none,0
0749,661-14-2067,41,88000,0,high blood pressure,0
0440,325-40-3627,31,70000,1,high blood pressure,7
0257,407-51-8126,26,74000,1,none,5
0100,274-07-7354,43,61000,1,high blood pressure,7
0744,068-76-7886,22,73000,1,diabetes,6
0884,138-34-2003,29,65000,1,none,3
0142,047-14-2351,32,71000,1,none,3
0047,231-45-3028,39,97000,0,none,0
0262,484-50-3348,38,76000,0,none,0
0506,338-46-8475,45,90000,0,high blood pressure,0
0029,370-08-0538,47,84000,1,diabetes,6
0136,750-82-3500,31,56000,0,none,0
0927,888-57-4526,30,87000,1,none,2
0118,880-64-2524,27,42000,1,high blood pressure,6
0383,882-70-8623,35,62000,0,none,0
0178,335-64-7430,33,82000,0,none,0
0305,607-38-4662,36,42000,0,none,0
0796,421-53-2407,54,47000,1,asthma,5
0218,868-71-2410,47,94000,1,none,3
0241,215-16-2380,36,60000,0,none,0
0671,812-15-7768,32,89000,1,diabetes,6
0650,328-02-7786,48,48000,1,diabetes,7
0571,835-65-5515,41,94000,0,high blood pressure,0
0504,624-16-3385,27,51000,1,none,4
0641,488-08-1601,40,46000,1,diabetes,3
0279,077-35-0218,20,85000,1,diabetes,6
0361,868-08-6582,40,45000,1,high blood pressure,7
0776,308-77-0425,47,90000,1,high blood pressure,5
0250,005-03-2637,32,50000,1,none,2
0059,070-88-2434,32,103000,1,diabetes,5
0678,883-31-1801,25,68000,1,high blood pressure,7
0256,347-16-8156,55,57000,1,diabetes,7
0546,512-67-6421,38,50000,1,none,7
0670,323-71-3117,52,69000,1,diabetes,6
0210,342-01-0233,18,100000,1,none,4
0012,223-01-1243,39,43000,1,none,2
0853,144-55-4117,35,53000,0,none,0
0971,161-63-7861,54,99000,1,asthma,7
0863,437-27-2705,44,66000,0,none,0
0903,562-06-1855,38,47000,1,high blood pressure,6
0854,821-51-4727,48,88000,1,high blood pressure,6
0864,314-82-6877,19,100000,0,asthma,0
0629,470-67-3438,43,97000,0,high blood pressure,0
0665,334-60-2553,42,48000,1,diabetes,6
0228,534-04-8658,28,49000,1,none,2
0394,765-53-8276,18,63000,1,none,5
0315,288-26-8164,55,64000,0,diabetes,0
0428,320-11-0481,25,101000,0,none,0
0371,536-17-0306,46,82000,0,diabetes,0
0705,851-22-7010,45,63000,0,none,0
0395,315-03-3846,54,98000,0,asthma,0
0406,716-77-2151,53,83000,0,high blood pressure,0
0648,312-18-1140,42,81000,1,diabetes,6
0473,428-56-8067,48,83000,1,asthma,6
0003,202-61-5273,42,63000,1,asthma,5
0494,325-70-2477,57,69000,1,high blood pressure,7
0764,451-32-6430,32,69000,1,none,3
0584,442-26-7565,55,97000,1,asthma,7
0043,247-00-5114,53,58000,1,diabetes,7
0045,354-08-7154,39,88000,0,none,0
0763,826-04-2728,47,57000,1,high blood pressure,5
0470,607-45-4257,41,88000,0,high blood pressure,0
0064,357-25-8674,32,48000,1,none,4
0505,150-02-4830,34,88000,1,none,4
0666,884-04-3815,18,69000,1,asthma,7
0226,041-37-0155,20,86000,0,none,0
0893,634-88-2701,30,44000,1,none,3
0797,312-80-7567,31,82000,0,none,0
0848,382-01-5811,18,87000,0,high blood pressure,0
0447,865-56-0751,21,91000,1,none,4
0874,226-66-8851,45,65000,1,diabetes,7
0400,781-78-7726,44,59000,0,none,0
0078,043-86-5388,30,100000,0,none,0
0880,216-35-3636,39,98000,1,none,2
0766,763-16-2482,29,93000,0,none,0
0324,808-40-8743,53,86000,0,none,0
0757,240-23-1257,33,69000,1,none,2
0423,884-08-2027,51,49000,1,diabetes,7
0963,164-73-5447,50,46000,0,high blood pressure,0
0173,725-22-0557,35,52000,0,none,0
0238,217-42-0123,45,81000,0,high blood pressure,0
0028,845-60-8633,38,96000,0,none,0
0110,760-21-1718,20,100000,1,none,4
0196,826-51-8343,56,98000,1,diabetes,6
0573,263-61-5817,49,95000,1,diabetes,7
0781,431-07-6330,42,69000,1,diabetes,6
0652,374-10-0866,25,83000,1,high blood pressure,7
0717,206-33-5886,55,68000,1,diabetes,6
0345,607-76-3780,37,103000,0,high blood pressure,0
0302,420-87-4831,29,82000,1,high blood pressure,7
0535,388-00-7212,29,55000,1,diabetes,7
0791,725-30-4276,56,88000,1,diabetes,6
0363,284-61-8381,45,99000,1,asthma,6
0635,625-71-0123,47,53000,1,diabetes,6
0511,027-14-3272,53,103000,1,diabetes,7
0412,415-22-5860,48,93000,1,asthma,6
0647,875-77-5664,35,42000,1,asthma,3
0592,742-60-0083,55,90000,1,asthma,6
0433,856-88-8136,27,42000,0,none,0
0934,601-67-5344,47,89000,1,diabetes,4
0731,755-55-5630,19,80000,0,none,0
0534,338-83-7748,57,58000,1,high blood pressure,4
0143,343-68-8152,27,70000,1,none,7
0436,654-45-0186,43,99000,1,none,2
0767,518-46-1088,26,92000,0,asthma,0
0898,575-24-5404,21,45000,0,none,0
0190,340-70-2620,41,57000,1,high blood pressure,4
0236,371-75-8750,20,83000,1,none,4
0471,273-46-7451,41,44000,1,high blood pressure,7
0735,730-43-3632,54,57000,0,high blood pressure,0
0075,305-10-5820,58,99000,1,high blood pressure,4
0263,603-32-5271,49,81000,1,high blood pressure,6
0119,486-36-8486,29,71000,1,asthma,6
