Id,SSN,Age,Salary,COVID Test Result,Pre-Existing Conditions,Recovery Time
0174,205-05-8461,43,87000,1,asthma,6
0658,057-57-0013,45,103000,0,none,0
0318,866-25-4120,55,55000,1,high blood pressure,6
0899,478-56-8288,40,86000,1,high blood pressure,6
0253,641-86-3328,24,92000,0,diabetes,0
0643,507-35-4387,49,98000,1,high blood pressure,5
0645,482-18-0841,56,72000,0,asthma,0
0659,025-24-4565,31,56000,0,none,0
0782,000-62-0045,38,91000,0,none,0
0626,168-48-8403,53,103000,1,diabetes,7
0629,470-67-3438,43,97000,0,high blood pressure,0
0893,634-88-2701,30,44000,1,none,3
0040,373-70-6846,44,76000,0,diabetes,0
0805,436-88-8500,23,47000,0,diabetes,0
0025,840-84-5646,32,97000,1,none,2
0689,273-52-7642,45,60000,1,diabetes,7
0803,581-60-7010,55,63000,1,high blood pressure,7
0015,712-73-3805,23,80000,0,high blood pressure,0
0278,632-44-8727,53,91000,0,asthma,0
0504,624-16-3385,27,51000,1,none,4
0304,646-12-5787,35,53000,1,none,2
0308,616-44-7241,29,92000,0,none,0
0042,077-51-1611,19,92000,0,diabetes,0
0756,564-07-1020,33,70000,0,none,0
0408,836-52-5284,18,47000,0,asthma,0
0888,600-05-0435,38,77000,0,diabetes,0
0083,551-62-4312,21,55000,1,none,2
0389,357-08-7500,49,77000,1,diabetes,6
0700,282-37-0846,39,61000,1,none,4
0140,280-17-2811,29,47000,0,none,0
0642,056-62-7527,43,47000,1,asthma,6
0612,668-24-1854,26,48000,1,high blood pressure,5
0481,763-83-0405,55,101000,0,asthma,0
0550,147-15-7273,39,61000,1,none,2
0983,300-46-6317,19,68000,0,none,0
0185,241-83-2161,39,50000,0,none,0
0414,841-83-4672,49,96000,1,asthma,6
0139,114-35-6663,33,89000,1,none,5
0444,836-10-8360,18,53000,1,asthma,6
0460,776-54-1036,33,53000,1,none,4
0914,511-36-0022,37,61000,0,high blood pressure,0
0474,312-14-6487,44,73000,1,asthma,6
0157,845-56-8256,21,46000,1,none,5
0159,043-80-8507,26,79000,0,none,0
0582,870-33-2658,51,72000,0,diabetes,0
0480,842-51-2582,19,73000,0,asthma,0
0303,423-55-6151,33,46000,0,diabetes,0
0569,570-65-6077,19,67000,1,none,2
