Id,SSN,Age,Salary,COVID Test Result,Pre-Existing Conditions,Recovery Time
0409,105-22-7328,50.0,"$82,000",yes,high blood pressure,4 weeks
0908,737-28-5583,55.0,"$73,000",no,asthma,N/A
0533,186-56-6345,46.0,"$94,000",yes,asthma,6 weeks
0354,563-88-3187,42.0,"$54,000",yes,none,2 weeks
0937,717-85-3843,26.0,"$82,000",no,none,N/A
0332,616-05-6087,57.0,"$92,000",yes,asthma,7 weeks
0499,666-70-6086,51.0,"$86,000",yes,asthma,7 weeks
0441,232-57-8606,53.0,"$53,000",yes,asthma,3 weeks
0512,514-20-1047,26.0,"$60,000",yes,none,2 weeks
0335,248-16-1882,19.0,"$62,000",no,none,N/A
0520,237-07-6026,33.0,"$78,000",no,high blood pressure,N/A
0754,545-53-6383,53.0,"$52,000",no,asthma,N/A
0389,357-08-7500,49.0,"$77,000",yes,diabetes,6 weeks
0255,476-80-5012,48.0,"$73,000",yes,asthma,7 weeks
0978,466-32-4533,50.0,"$65,000",yes,diabetes,6 weeks
0137,547-11-6147,30.0,"$84,000",yes,high blood pressure,5 weeks
0036,802-73-4736,27.0,"$97,000",no,none,N/A
0304,646-12-5787,35.0,"$53,000",yes,none,2 weeks
0292,214-87-8788,29.0,"$67,000",yes,none,2 weeks
0739,153-77-5565,39.0,"$82,000",no,asthma,N/A
0413,064-55-8470,19.0,"$79,000",yes,none,2 weeks
0021,678-47-4265,21.0,"$102,000",yes,diabetes,7 weeks
0495,528-71-2322,21.0,"$85,000",no,none,N/A
0630,734-56-8775,33.0,"$91,000",no,none,N/A
0747,343-56-0410,30.0,"$52,000",no,diabetes,N/A
0657,544-02-8563,20.0,"$53,000",yes,high blood pressure,6 weeks
0369,835-10-1802,18.0,"$52,000",yes,none,3 weeks
0275,425-61-8885,33.0,"$57,000",no,none,N/A
0924,611-72-5211,42.0,"$67,000",no,diabetes,N/A
0183,538-35-3528,43.0,"$98,000",no,diabetes,N/A
0643,507-35-4387,49.0,"$98,000",yes,high blood pressure,5 weeks
,640-73-5644,24.0,"$82,000",no,none,N/A
0171,185-58-0316,58.0,"$89,000",no,asthma,N/A
0421,480-66-8200,23.0,"$79,000",no,none,N/A
0288,247-20-0585,32.0,"$59,000",no,none,N/A
0610,127-33-4216,38.0,"$99,000",yes,none,3 weeks
0998,400-61-8478,22.0,"$68,000",no,none,N/A
0328,084-26-2281,37.0,"$50,000",no,none,N/A
0515,706-41-1213,56.0,"$101,000",yes,high blood pressure,6 weeks
0391,122-84-4706,56.0,"$67,000",yes,high blood pressure,4 weeks
0768,188-87-6378,36.0,"$58,000",yes,none,3 weeks
0376,843-78-8680,50.0,"$62,000",yes,none,2 weeks
0186,661-50-8280,29.0,"$68,000",no,high blood pressure,N/A
0234,877-04-5755,53.0,"$57,000",no,none,N/A
0841,133-61-0104,24.0,"$74,000",no,none,N/A
0723,782-76-8666,18.0,"$72,000",yes,high blood pressure,7 weeks
0448,246-08-2485,21.0,"$54,000",no,none,N/A
0104,024-23-7466,26.0,"$88,000",yes,asthma,6 weeks
0458,831-18-6660,27.0,"$73,000",yes,none,4 weeks
0845,637-10-0305,49.0,"$51,000",yes,asthma,7 weeks
0692,620-81-4633,46.0,"$45,000",yes,diabetes,5 weeks
0457,415-43-3650,42.0,"$95,000",no,high blood pressure,N/A
0502,533-66-7217,40.0,"$66,000",yes,none,4 weeks
0353,035-41-3642,26.0,"$60,000",yes,none,7 weeks
0918,458-87-7868,37.0,"$93,000",yes,none,2 weeks
0599,150-64-5667,55.0,"$78,000",yes,high blood pressure,5 weeks
0492,871-51-2652,35.0,"$60,000",yes,high blood pressure,4 weeks
0859,538-44-3015,26.0,"$60,000",yes,none,3 weeks
0126,403-84-3272,21.0,"$50,000",yes,none,3 weeks
0986,161-82-7616,31.0,"$92,000",no,none,N/A
0719,768-67-6535,58.0,"$50,000",yes,diabetes,7 weeks
0066,668-53-4645,57.0,"$70,000",no,high blood pressure,N/A
0207,517-50-4382,58.0,"$85,000",yes,high blood pressure,7 weeks
0213,212-80-8330,26.0,"$90,000",yes,none,6 weeks
0368,041-67-5615,18.0,"$70,000",no,none,N/A
0373,208-47-4031,52.0,"$81,000",yes,high blood pressure,3 weeks
0561,461-02-1008,47.0,"$64,000",yes,high blood pressure,6 weeks
0551,100-22-8364,53.0,"$56,000",yes,diabetes,6 weeks
0424,788-38-5287,37.0,"$94,000",yes,diabetes,5 weeks
0523,603-83-5228,18.0,"$79,000",yes,none,3 weeks
0055,486-75-6005,31.0,"$70,000",yes,high blood pressure,5 weeks
0316,762-16-8711,53.0,"$98,000",yes,asthma,6 weeks
0616,214-86-4305,20.0,"$97,000",no,none,N/A
0387,073-15-5868,19.0,"$57,000",yes,asthma,7 weeks
0240,465-57-7768,36.0,"$87,000",no,none,N/A
0155,048-84-2606,47.0,"$85,000",no,high blood pressure,N/A
0098,155-51-3325,21.0,"$69,000",yes,none,5 weeks
0885,270-85-0810,48.0,"$43,000",yes,,6 weeks
0566,236-44-8646,19.0,"$91,000",yes,none,4 weeks
,882-51-2546,30.0,"$77,000",no,none,N/A
0644,857-61-2555,,"$57,000",no,asthma,N/A
0574,468-08-1806,29.0,"$50,000",yes,asthma,5 weeks
0989,586-83-5426,49.0,"$60,000",no,high blood pressure,N/A
0350,320-43-2313,34.0,"$66,000",yes,high blood pressure,4 weeks
0673,432-66-3821,21.0,"$51,000",no,none,N/A
0291,683-68-4315,20.0,"$75,000",no,none,N/A
0356,776-33-5416,45.0,"$60,000",no,asthma,N/A
0560,152-58-4837,25.0,"$91,000",no,asthma,N/A
0489,485-46-0023,36.0,"$65,000",yes,diabetes,7 weeks
0721,244-67-8874,57.0,"$58,000",yes,asthma,6 weeks
0132,445-06-4505,53.0,"$81,000",yes,asthma,
0730,647-60-1372,31.0,"$71,000",yes,none,4 weeks
0469,062-04-5236,42.0,"$43,000",no,high blood pressure,N/A
0439,414-77-4520,31.0,"$97,000",yes,none,3 weeks
0379,040-51-4817,33.0,"$99,000",yes,high blood pressure,6 weeks
0917,866-54-5208,57.0,"$75,000",yes,high blood pressure,5 weeks
0188,481-80-2525,28.0,"$71,000",no,high blood pressure,N/A
0658,057-57-0013,45.0,"$103,000",no,none,N/A
0232,404-18-2576,53.0,"$84,000",no,asthma,N/A
0831,263-28-4142,56.0,"$58,000",no,diabetes,N/A
0741,320-38-3031,23.0,"$78,000",no,none,N/A
0308,616-44-7241,29.0,"$92,000",no,none,N/A
0426,808-73-2460,55.0,"$43,000",no,diabetes,
0358,437-31-5850,27.0,"$97,000",no,asthma,N/A
0704,767-20-8427,56.0,"$72,000",yes,high blood pressure,5 weeks
0189,378-62-0751,56.0,"$82,000",yes,high blood pressure,5 weeks
0634,176-78-8288,29.0,"$81,000",yes,none,7 weeks
0312,877-16-4417,35.0,"$44,000",yes,asthma,3 weeks
0844,820-60-6675,52.0,"$45,000",yes,none,6 weeks
0961,870-74-7843,50.0,"$55,000",yes,high blood pressure,7 weeks
0401,578-40-0712,20.0,"$93,000",yes,none,3 weeks
0800,688-71-1677,54.0,"$95,000",yes,high blood pressure,7 weeks
0221,720-72-2221,37.0,,no,none,N/A
0169,415-42-3878,55.0,"$73,000",yes,diabetes,5 weeks
0795,612-02-2115,26.0,"$54,000",no,high blood pressure,N/A
0567,236-36-2381,38.0,"$85,000",yes,none,2 weeks
0254,638-06-3550,19.0,"$56,000",no,none,N/A
0966,752-57-3800,45.0,"$75,000",no,high blood pressure,N/A
0609,615-37-7826,51.0,"$60,000",yes,none,
0090,688-74-0246,57.0,"$57,000",yes,none,4 weeks
0802,123-06-8042,26.0,"$89,000",no,none,N/A
0749,661-14-2067,41.0,"$88,000",no,high blood pressure,N/A
0440,325-40-3627,31.0,"$70,000",yes,high blood pressure,7 weeks
0257,407-51-8126,26.0,"$74,000",yes,none,5 weeks
0100,274-07-7354,43.0,"$61,000",yes,high blood pressure,7 weeks
0229,,36.0,"$62,000",yes,none,6 weeks
0744,068-76-7886,22.0,"$73,000",yes,diabetes,6 weeks
0884,138-34-2003,29.0,"$65,000",yes,none,3 weeks
0142,047-14-2351,32.0,"$71,000",yes,none,3 weeks
0047,231-45-3028,39.0,"$97,000",no,none,N/A
0262,484-50-3348,38.0,"$76,000",no,none,N/A
0506,338-46-8475,45.0,"$90,000",no,high blood pressure,N/A
0029,370-08-0538,47.0,"$84,000",yes,diabetes,6 weeks
0136,750-82-3500,31.0,"$56,000",no,none,N/A
0927,888-57-4526,30.0,"$87,000",yes,none,2 weeks
0330,,20.0,"$87,000",yes,high blood pressure,7 weeks
0118,880-64-2524,27.0,"$42,000",yes,high blood pressure,6 weeks
0383,882-70-8623,35.0,"$62,000",no,none,N/A
0178,335-64-7430,33.0,"$82,000",no,none,N/A
,101-42-6762,28.0,"$47,000",yes,none,6 weeks
0305,607-38-4662,36.0,"$42,000",no,none,N/A
